seccion,indicador,titulo,ambito,sexo,periodo,valor,unidad
epa,ocupados,Ocupados,espana,Mujeres,2017T4,8659.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2018T1,8590.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2018T2,8815.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2018T3,8865.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2018T4,8911.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2019T1,8872.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2019T2,9054.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2019T3,9049.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2019T4,9158.3,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2020T1,9020.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2020T2,8473.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2020T3,8722.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2020T4,8874.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2021T1,8789.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2021T2,9038.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2021T3,9230.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2021T4,9344.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2022T1,9290.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2022T2,9483.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2022T3,9452.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2022T4,9504.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2023T1,9543.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2023T2,9834.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2023T3,9900.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2023T4,9943.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2024T1,9857.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2024T2,10089.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2024T3,10112.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2024T4,10151.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2025T1,10152.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2025T2,10390.3,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2025T3,10401.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2025T4,10457.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2026T1,10367.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2026T2,10616.9,miles de personas
